trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2026-01-16,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-16,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-16,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-16,CEA24,73.93,73.93,73.93,73.93,0.0,100000.0,7900000.0,0.0,0.0,100000.0,7900000.0,0.0,0.0,2026-01
2026-01-16,CEA25,78.5,78.5,78.5,78.5,0.0,600000.0,42830000.0,0.0,0.0,600000.0,42830000.0,0.0,0.0,2026-01
2026-01-19,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-19,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-19,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-19,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-19,CEA24,79.0,79.0,79.0,79.0,6.86,141947.0,11213813.0,41947.0,3313813.0,100000.0,7900000.0,0.0,0.0,2026-01
2026-01-19,CEA25,81.0,81.0,81.0,81.0,3.18,5000.0,405000.0,5000.0,405000.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA24,79.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-20,CEA25,73.0,73.0,73.0,73.0,9.88,251643.0,17569939.0,51643.0,3769939.0,200000.0,13800000.0,0.0,0.0,2026-01
2026-01-21,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-21,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-21,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-21,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-21,CEA24,79.0,79.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-21,CEA25,78.5,80.3,78.5,78.6,7.67,632500.0,40297500.0,62500.0,4912500.0,570000.0,35385000.0,0.0,0.0,2026-01
2026-01-22,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-22,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
