cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
240,36.75,117.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
241,36.75,117.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
242,36.75,117.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
243,36.75,117.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
244,36.75,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
245,36.75,118.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
246,36.75,118.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
247,36.75,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
248,36.75,119.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
249,36.75,119.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
250,36.75,119.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
251,36.75,119.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
252,36.75,120.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
253,36.75,120.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
254,36.75,120.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
255,36.75,120.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
256,36.75,121.0,1.0,0.9996,0.0,1,1,1.0,0.9996,0.9996,0.9996,fallback:w_province
257,36.75,121.25,0.0,0.7901,0.0,1,1,1.0,0.7901,0.7901,0.7901,fallback:w_province
258,36.75,121.5,0.0,0.5011,0.0,1,1,1.0,0.5011,0.5011,0.5011,fallback:w_province
259,36.75,121.75,0.0,0.1329,0.0,1,1,1.0,0.1329,0.1329,0.1329,fallback:w_province
260,36.75,122.0,0.0,0.0001,0.0,1,1,1.0,0.0001,0.0001,0.0001,fallback:w_province
261,36.75,122.25,0.0,0.1125,0.0,1,1,1.0,0.1125,0.1125,0.1125,fallback:w_province
262,36.75,122.5,0.0,0.0155,0.0,1,1,1.0,0.0155,0.0155,0.0155,fallback:w_province
263,36.75,122.75,0.0,0.0,0.0911,1,1,1.0,0.0,0.0,0.0,fallback:w_province
